conv_id,text,predicted_intent,confidence,intent_id,n_grounding_examples,top_similarity,escalate,escalate_reason,draft_reply
1,@115821 100s of ppl have been scammed from my Seller Acct that was hacked..called 2x about it 3wks ago. When will you actually do something?,account_access,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
2,"Too many times now, my prime orders have been delayed, @115850! Your reliability is becoming questionable.
#AmazonPrime",delivery_problem,80.0,2.0,3,0.7122890039649518,False,"confident intent, not high-stakes, strong historical match found",We're sorry to hear about the delivery delays. Please share your specific concerns here: https://t.co/CYqkdUakWJ so we can address them. ^GM
3,"@AmazonHelp kindle publishing,  stop destroying peoples book formats",digital_content,75.0,9.0,3,0.5711486534195068,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear you're facing formatting issues. Please share your details so we can help resolve this for you. ^AP
4,@173027 it's been days since i pre-ordered my i8+ from @115850 but there isn't any update on shipping yet. Pls look and escalate,order_status,80.0,1.0,3,0.6815477397273805,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the delay with your pre-order. Please check the estimated delivery date in your order details and let us know if we missed it. ^SB
5,"@2600 so it appears I am supposed to use Amazon.fr because I live in Belgium? How can I change the language, like on Amazon.de, pls?",app_or_site_technical,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
6,@AmazonHelp SO what was the Status now and when i'll get my amount back to my card????,refund_or_return,85.0,3.0,3,0.7222713580874782,False,"confident intent, not high-stakes, strong historical match found",I understand your concern about the refund. Please contact us here: https://t.co/vlvfJr4nN9 for assistance with your order. ^RD
7,"Hi @115821, please thank your delivery driver for watering our plants for us on Saturday evening x much appreciated x https://t.co/k5rtxXpvw4",general_feedback_or_praise,80.0,11.0,3,0.5191425967650405,False,"confident intent, not high-stakes, strong historical match found",Thanks for your appreciation! We love to hear positive feedback about our team. Enjoy your day! ^CR
8,LOL it was due for delivery Sept 27. At this point just keep the damn apple corer @115821. I'll buy one at dollarama. #amazonprime https://t.co/F6zMCIqCHY,delivery_problem,90.0,2.0,3,0.5794763312622022,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delay. Please share the tracking details so we can look into it further. ^PK
9,Smashing service as ever @115830... https://t.co/4hl74AOJTE,general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
10,When thanks to @116090 I'll have to sleep in an airbed for another week. #backpainnnnn https://t.co/YaqLnxw5BJ,general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
11,@AmazonHelp y does your delivery service bend my book to place in my mailbox when I have been home all day. Plus tear the top off my package,delivery_problem,85.0,2.0,3,0.6187860930359129,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about the handling of your package. Please let us know which carrier delivered it so we can investigate further. ^GG
12,"@AmazonHelp @115850 
I rceived msg that below highlighted pckage is delivered to me but actually it is not. The no of agent is unavailable https://t.co/FOjiYBdM9J",delivery_problem,90.0,2.0,3,0.6965510480672863,False,"confident intent, not high-stakes, strong historical match found",That's concerning. Please report this issue to our support team so we can investigate and assist. https://t.co/TdDksLo6Mf ^HD
13,@115850  @AmazonHelp i need refund for my product  asap. I did not like the quality of the product . order no 405-0169564-8765159 .,refund_or_return,90.0,3.0,3,0.8079785594520995,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about the quality issue. Please fill this out for our team to assist with your refund: https://t.co/beaaDm0muc ^AU
14,@AmazonHelp benefit of being prime member? https://t.co/FIXq8A79zx,subscription_membership,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
15,Amazon emailed me that my laptop charger delivery date has been delayed. I ORDERED IT SEPT 26TH WITH TWO DAY SHIPPING.,delivery_problem,80.0,2.0,3,0.5812592063426278,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delay with your charger. Please check your tracking for updates and let us know if you need further assistance. ^LB
16,"@AmazonHelp why are Amex txns failing regularly on Amazon.in and the App ? Called bank , they said problem at Amazon's end. Please resolve",billing_or_payment,85.0,5.0,3,0.6766587827713018,True,high-stakes intent ('billing_or_payment') always routed to a human,I'm sorry for the trouble with your Amex transactions. Please report this issue to our support team so we can help you. https://t.co/vlvfJr4nN9 ^HN
17,"@AmazonHelp @115821 @117634 
How do I turn lock-screen advertisements off? https://t.co/JcFEpWF3FB",app_or_site_technical,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
18,@115850 how to place order no cost EMI on bajaj card finance?,app_or_site_technical,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
19,Received empty box of one plus five . Dussehra enjoyed by Amazon team and they ruined my father's gift. @115851  @115830 @119356 https://t.co/uBHl6P3Dnn,product_defect,85.0,6.0,3,0.6764369827234875,False,"confident intent, not high-stakes, strong historical match found",That’s really unfortunate! Please report this to our support team here: https://t.co/TdDksLo6Mf and we’ll look into it for you. ^HD
20,@119625 Hey prime video team is there any option to change aspect ratio from 4:3 to 16:9. I am watching doreamon.,digital_content,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
21,@AmazonHelp Exchange offer ke 1006 rs milenge kaise? Aapka customer care khud confuse hai...,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
22,"My building does not have a letterbox or a receptionist at 21:09, so translation, left on the floor outside building overnight. @115830 https://t.co/XhN3yFzfIv",delivery_problem,80.0,2.0,3,0.5556325422383788,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your delivery issue. Could you please confirm which carrier was delivering? It’ll help us resolve this. ^NC
23,@115850 at one point you people say above 599 no delivery charges and at end you delivery and other charges. What are you people up to?,billing_or_payment,75.0,5.0,3,0.5934590560796406,True,high-stakes intent ('billing_or_payment') always routed to a human,I'm sorry for the confusion regarding delivery charges. Please report this issue here: https://t.co/2t6DQoUmNZ for further assistance. ^AB
24,Sick of #ecommerce #fraud. Lost all trusts on #AmazonIndia. Faced goof up from multiple times. U can't talk to their #helpline agent ever!,general_feedback_or_praise,80.0,11.0,3,0.6350242041991208,False,"confident intent, not high-stakes, strong historical match found",I apologize for the issues you've encountered. We'd like to address your concerns. Could you please share more details? ^SK
25,@115850 do you guys endorse this message spamming every whatsapp group #amazonprime https://t.co/deiRsGtJsB,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
26,@120474 hi there. Still not received my ticket for Shane Filan in Cardiff. Is only a couple of wks away. Can u advise? Thanks.,order_status,80.0,1.0,3,0.5995426338234169,False,"confident intent, not high-stakes, strong historical match found",We're sorry for the wait! Please reach out to us via DM so we can check on your ticket order for Shane Filan in Cardiff. ^AH
27,@AmazonHelp @119356 @115850 1st mobile recharge with Amazon pay...but cashback not added to my Amazon wallet,digital_content,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
28,"@119356 @115850 @115851 : Ours is a business account. Ordered 14 items for diwali gifts for staffs worth 10K INR. Order cancelled for 12 items. Order # 403-6277206-9111521. Customer service say, can't do anything. Why i should have business account then?",cancellation_or_change,85.0,4.0,3,0.6074175071700029,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your order issues. Please send us a DM so we can assist you further. ^AH
29,"Yo @115825, if all the on-screen text will always be in German don't pretend a movie is available in ""German and English"". Jarring af",digital_content,75.0,9.0,3,0.47576390393416257,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the confusion! Which device are you streaming from? Let's make sure you can enjoy your movie. ^DW
30,@149601 when trying to download battlefront2 beta it says 'not available for purchase'. I've redeemed the code from @115830 but no joy 😣,digital_content,75.0,9.0,3,0.7096206899953662,False,"confident intent, not high-stakes, strong historical match found",Sorry to hear you're having trouble with the beta code. Please reach out to us via DM for assistance. ^WM
31,"@115828 I pre-ordered Battlefront 2 through you, will I be getting a beta code ? @116090 @AmazonHelp",digital_content,75.0,9.0,3,0.8334063999159325,False,"confident intent, not high-stakes, strong historical match found",We'd like to help you with your pre-order! Can you let us know when you placed the order? ^MJ
32,@115850 The whole birthday surprise was ruined This is how u guys look after ur prime customer The whole gift thing was ruined #feltbroken https://t.co/Qyz3aPazDL,delivery_problem,90.0,2.0,3,0.6622966832720977,False,"confident intent, not high-stakes, strong historical match found",I’m sorry to hear about the trouble with your gift! Please send us a DM so we can look into this for you. ^YP
33,"@115850 is making fool , Look at the price :) there is not a single penny's discount #LetsCheckOut #Ittefaq #WorldAnimalDay https://t.co/wQ6Cyz1Zen",billing_or_payment,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
34,"@AmazonHelp Yo, Amazon. Do you know when Battlefront 2 Beta Codes are being sent out? (Should be today, but still nothing)",digital_content,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
35,"Mind-blowing deal!
@115850: Sorry guys. Never wanted to troll you. But this doesn't look good. Why don't you check this out? https://t.co/YHAW5X16Zc",general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
36,Disappointed by inferior quality item supplied by @115850... Losing trust for online purchases... @126033 request assistance please...,product_defect,85.0,6.0,3,0.5991929770960247,False,"confident intent, not high-stakes, strong historical match found","I apologize for the disappointment with your item. Please DM us with more details, and we'll assist you right away. ^NS"
37,"@AmazonHelp Thanks for ur response. My problem is not solvable but I'm happy by your approach.
And pls don't use shit 3rd party courier.",general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
38,This is very pathetic &amp; painful to knw that @115850 forgt to refnd 45k. It means if customer wouldn't call then they won't refund ur money,refund_or_return,85.0,3.0,3,0.5871193206978806,False,"confident intent, not high-stakes, strong historical match found","I understand your frustration regarding the refund. Please send us a DM with your order details, and we'll help resolve this. ^KA"
39,@115850 the site is down for iOS users?,app_or_site_technical,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
40,"@AmazonHelp Lovefilm website  states that no payments will be taken after 30th September, my account had £6.99 deducted by you yesterday ???",billing_or_payment,85.0,5.0,3,0.884190273930272,True,high-stakes intent ('billing_or_payment') always routed to a human,I'm sorry to hear about the billing issue! Please reach out to us via DM so we can investigate this further. ^RL
41,"@115850 ibwz tryng 2 pik dis deal,bt m getting extra 1k exchange nly in spite of 2k.
So wts actually offer.
Plz explain
@82310 https://t.co/CHCWVLHnaG",app_or_site_technical,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
42,@115830 who do I send the bill for a new microchip cat flap to ? Didn't stop your driver ramming my parcel through it !!!,delivery_problem,90.0,2.0,3,0.5737847491166119,False,"confident intent, not high-stakes, strong historical match found",I'm really sorry to hear about your experience. Please send us a DM to discuss the damages and how we can assist you. ^AG
43,@1315 Lovefilm states that no payments will be taken after 30th September ... so how come my account had £6.99 taken from it yesterday ?,billing_or_payment,85.0,5.0,3,0.884190273930272,True,high-stakes intent ('billing_or_payment') always routed to a human,I understand your concern regarding the charge. Please DM us so we can look into this for you. ^RL
44,#SWBFII The Amazon Codes are Not Working,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
45,@115850 No UPI payment mode? It's not that bad actually.,app_or_site_technical,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
46,@12393 Possible software upgrade to set varying defaults for the page the book opens at and the time elapsing before the screensaver?,app_or_site_technical,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
47,"@AmazonHelp guys i cant log into kindle cloud reader online, it keeps coming up with ""an error occured when trying to load the library""",account_access,80.0,7.0,3,0.6042091853286383,True,high-stakes intent ('account_access') always routed to a human,"We're here to help! Please send us a DM about the Kindle Cloud Reader issue, and we'll work to resolve it. ^KH"
48,@149601 got amazon uk beta code for bf2 and its not working??????,digital_content,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
49,"Talked nearly 7-8 times, for my refund. The product was cancelled on 25th. And still i haven't received any refund. 
Courtesy- @115850",refund_or_return,90.0,3.0,3,0.6609216806268959,False,"confident intent, not high-stakes, strong historical match found","I'm sorry for the delay in your refund. Please DM us with your order details, and we’ll look into it for you. ^HN"
50,@117634 Possible software upgrade to set varying defaults for the page the book opens at and the time elapsing before the screensaver?,app_or_site_technical,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
51,@115833 Trying to set up for the 1st time but the app says my Amazon password is incorrect. no. it's not. any ideas?,account_access,85.0,7.0,3,0.6991415385581427,True,high-stakes intent ('account_access') always routed to a human,I'm sorry for the login troubles! Have you tried resetting your password again? Please let us know if the issue persists. ^CS
52,@115850 there is a serious bug on your website; when trying to navigate using Next page or Page Number it redirects to Home Page.,app_or_site_technical,90.0,8.0,3,0.6128501072114519,False,"confident intent, not high-stakes, strong historical match found","I'm sorry to hear about the bug on our site. Please try clearing your browser's cache, and let us know if the issue continues. ^SV"
53,Anyone else charged multiple times this week for an @115830 Prime account they didn't take out?,billing_or_payment,80.0,5.0,3,0.6782979037272566,True,high-stakes intent ('billing_or_payment') always routed to a human,I'm sorry to hear about the multiple charges! Please send us a DM with your account details so we can investigate this for you. ^AG
54,"@10250 Tempted to upgrade from my Oneplus2 to Honor8Pro, Thanks 2 Amazon Sale it's available at 27k. Thoughts between Oneplus5 &amp; 8Pro?",general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
55,"@115850 contact center number IVR is just taking me round in circles,need 2 speak to a rep to discuss regarding  #407-8962099-9902712 #JBL",account_access,75.0,7.0,3,0.5938938821232349,True,high-stakes intent ('account_access') always routed to a human,I'm sorry to hear that you're having trouble reaching us! You can also connect with us via chat or email here: https://t.co/hApLpMlfHN. ^HN
56,Hi @amazonhelp how do I get a refund on item which hasn't arrived in a group parcel ?,refund_or_return,85.0,3.0,3,0.7161446088738174,False,"confident intent, not high-stakes, strong historical match found",I'm sorry your item hasn't arrived! Please reach out to us here: https://t.co/JzP7hlA23B so we can assist you with the refund process. ^CO
57,"@115850 
What kind of offer show??
 How many discount apply on oneplus 5 ??
Greate Nice offer😡😡 https://t.co/pMaUmcxduA",general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
58,"Recharged with Amazon Pay Balance, how do I get to know that offer to win iPhone8 applied or not? @115850 @AmazonHelp https://t.co/d7CvlzmyPH",general_feedback_or_praise,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
59,@AmazonHelp do you think it's acceptable to be woken up by a courier knocking your door when the delivery is for your neighbour?,delivery_problem,90.0,2.0,3,0.6514408593212933,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the delivery disturbance! Please share your details via DM so we can address your concern directly. ^AG
60,@115830 @AmazonHelp I’ve preordered Battlefront II - but no sign of the early beta code yet. When are these being sent out?,order_status,85.0,1.0,3,0.8504980519754313,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the delay with your beta code! Please reach out to us directly here: https://t.co/hApLpMlfHN and we’ll help you out. ^AG
61,"@115850 worst shopping app
I bought a 25 let. Water heater. They returned it without my return request and said you have already requested",delivery_problem,90.0,2.0,3,0.5714983949198675,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your experience. Please send us a DM with your order details so we can assist in resolving this. ^AG
62,"No Amazon! This is not an @797 , why would people pay extra ₹ 999 to you? 
@115850 @132994 @115858 https://t.co/C97lA18Lp6",general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
63,#AmazonIndia cannot contact my amzagnt... Unable to receive my parcel. Where can I get more help ? His phone has been off since yesterday.,delivery_problem,90.0,2.0,3,0.633642793594327,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the inconvenience in reaching your delivery agent. Please DM us with your details so we can assist further. ^AG
64,@115830 We love you and love Prime but could you kindly ask your delivery drivers to give us more than 30 seconds to answer the door!!!,delivery_problem,75.0,2.0,3,0.6356168808022872,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the rushing during deliveries! Please reach out here: https://t.co/JzP7hlRCV9 so we can look into this for you. ^AG
65,Finally @115850 delivered #FIFA18 👍🏻 https://t.co/Th7mhE7J45,general_feedback_or_praise,80.0,11.0,3,0.5222797834909226,False,"confident intent, not high-stakes, strong historical match found","That's great to hear, enjoy your game! If you need any assistance, feel free to reach out. ^AG"
66,@115850 order id 406-0875156-9923538 i cancelled it as its taking forever to come nd you guys ask for pick up from home date.. #shitamazon,cancellation_or_change,85.0,4.0,3,0.6856500813378821,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the cancellation hassle! Please DM us so we can sort out the matter for you. ^AG
67,I liked a @126972 video https://t.co/PBI4llXHdD Amazon courier boy misbehavior with customers,general_feedback_or_praise,75.0,11.0,3,0.506868724222212,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your experience. Can you let us know more about what happened? ^AG
68,@AmazonHelp hello i order something on amazon on october 1st and it is yet to be shipped any idea why??,order_status,85.0,1.0,3,0.7624942675243214,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delay! Please send us a DM with your order number so we can check on it for you. ^AG
69,@115850 is tis a fake news? Wen wil I get my order? https://t.co/1J1x5FwYYV,order_status,85.0,1.0,3,0.6549472635326097,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the confusion regarding your order. Please DM us the details so we can help clarify this for you. ^AG
70,@115850  cost of Morphy Richards Coffee maker is more on lightening deal.,general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
71,@AmazonHelp I ordered on July 25th. I still do not receive anything and you already charged me. It doesn't let me cancel. Unacceptable. 😡😡😡 https://t.co/fVHv7s0nnw,refund_or_return,90.0,3.0,3,0.6536126487858895,False,"confident intent, not high-stakes, strong historical match found",I'm really sorry for the trouble with your order. Please reach out to us at this link: https://t.co/oXKGSe5z77 so we can assist you right away. ^AG
72,@AmazonHelp pre-ordered the new illustrated Harry Potter in May and it was released yesterday but I still haven't received?!,order_status,85.0,1.0,3,0.7166306181528518,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear you haven't received your pre-order! Please DM us your order details so we can assist further. ^AG
73,@115850 are u not ashamed of your self to promote ur great Indian festival by luring customers with fake prizes? Who's genius idea is this,general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
74,"#Order canceled by Amazon India, complaint filed against #Amazon
https://t.co/qUK9raPnjt",cancellation_or_change,85.0,4.0,3,0.67494336873811,False,"confident intent, not high-stakes, strong historical match found",We're sorry to hear about your order cancellation. Please check your email for details regarding the cancellation or reach out to us here for further assistance: https://t.co/9C8w7TJKzT. ^AG
75,"Surely preordering something means you get it delivered on release day, not 5 days later @115830 @AmazonHelp 🙄 Seriously considering cancelling my Prime membership",subscription_membership,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
76,Can't get early access to the Battlefront II Beta because someone at @115830 or @10115 messed up 🙄🙄🙄,general_feedback_or_praise,65.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
77,"@115850 when would this be available in Amazon India??
https://t.co/jDu17jEtI2",general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,
78,@115850 I was brought one lenovo  laptop and not providing me tax paid invoice bill to extend warranty and lenovo team not extending,product_defect,80.0,6.0,3,0.5707710399067375,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the trouble! Please reach out to our support team here: https://t.co/vlvfJr4nN9 so we can assist you with the invoice for your Lenovo laptop. ^TG
