conv_id,text,predicted_intent,confidence,intent_id
1,@115821 100s of ppl have been scammed from my Seller Acct that was hacked..called 2x about it 3wks ago. When will you actually do something?,account_access,70.0,
2,"Too many times now, my prime orders have been delayed, @115850! Your reliability is becoming questionable.
#AmazonPrime",delivery_problem,80.0,2
3,"@AmazonHelp kindle publishing,  stop destroying peoples book formats",digital_content,75.0,9
4,@173027 it's been days since i pre-ordered my i8+ from @115850 but there isn't any update on shipping yet. Pls look and escalate,order_status,80.0,1
5,"@2600 so it appears I am supposed to use Amazon.fr because I live in Belgium? How can I change the language, like on Amazon.de, pls?",app_or_site_technical,60.0,
6,@AmazonHelp SO what was the Status now and when i'll get my amount back to my card????,refund_or_return,85.0,3
7,"Hi @115821, please thank your delivery driver for watering our plants for us on Saturday evening x much appreciated x https://t.co/k5rtxXpvw4",general_feedback_or_praise,80.0,11
8,LOL it was due for delivery Sept 27. At this point just keep the damn apple corer @115821. I'll buy one at dollarama. #amazonprime https://t.co/F6zMCIqCHY,delivery_problem,90.0,2
9,Smashing service as ever @115830... https://t.co/4hl74AOJTE,general_feedback_or_praise,70.0,
10,When thanks to @116090 I'll have to sleep in an airbed for another week. #backpainnnnn https://t.co/YaqLnxw5BJ,general_feedback_or_praise,60.0,
11,@AmazonHelp y does your delivery service bend my book to place in my mailbox when I have been home all day. Plus tear the top off my package,delivery_problem,85.0,2
12,"@AmazonHelp @115850 
I rceived msg that below highlighted pckage is delivered to me but actually it is not. The no of agent is unavailable https://t.co/FOjiYBdM9J",delivery_problem,90.0,2
13,@115850  @AmazonHelp i need refund for my product  asap. I did not like the quality of the product . order no 405-0169564-8765159 .,refund_or_return,90.0,3
14,@AmazonHelp benefit of being prime member? https://t.co/FIXq8A79zx,subscription_membership,70.0,
15,Amazon emailed me that my laptop charger delivery date has been delayed. I ORDERED IT SEPT 26TH WITH TWO DAY SHIPPING.,delivery_problem,80.0,2
16,"@AmazonHelp why are Amex txns failing regularly on Amazon.in and the App ? Called bank , they said problem at Amazon's end. Please resolve",billing_or_payment,85.0,5
17,"@AmazonHelp @115821 @117634 
How do I turn lock-screen advertisements off? https://t.co/JcFEpWF3FB",app_or_site_technical,70.0,
18,@115850 how to place order no cost EMI on bajaj card finance?,app_or_site_technical,60.0,
19,Received empty box of one plus five . Dussehra enjoyed by Amazon team and they ruined my father's gift. @115851  @115830 @119356 https://t.co/uBHl6P3Dnn,product_defect,85.0,6
20,@119625 Hey prime video team is there any option to change aspect ratio from 4:3 to 16:9. I am watching doreamon.,digital_content,70.0,
21,@AmazonHelp Exchange offer ke 1006 rs milenge kaise? Aapka customer care khud confuse hai...,other,50.0,
22,"My building does not have a letterbox or a receptionist at 21:09, so translation, left on the floor outside building overnight. @115830 https://t.co/XhN3yFzfIv",delivery_problem,80.0,2
23,@115850 at one point you people say above 599 no delivery charges and at end you delivery and other charges. What are you people up to?,billing_or_payment,75.0,5
24,Sick of #ecommerce #fraud. Lost all trusts on #AmazonIndia. Faced goof up from multiple times. U can't talk to their #helpline agent ever!,general_feedback_or_praise,80.0,11
25,@115850 do you guys endorse this message spamming every whatsapp group #amazonprime https://t.co/deiRsGtJsB,other,50.0,
26,@120474 hi there. Still not received my ticket for Shane Filan in Cardiff. Is only a couple of wks away. Can u advise? Thanks.,order_status,80.0,1
27,@AmazonHelp @119356 @115850 1st mobile recharge with Amazon pay...but cashback not added to my Amazon wallet,digital_content,70.0,
28,"@119356 @115850 @115851 : Ours is a business account. Ordered 14 items for diwali gifts for staffs worth 10K INR. Order cancelled for 12 items. Order # 403-6277206-9111521. Customer service say, can't do anything. Why i should have business account then?",cancellation_or_change,85.0,4
29,"Yo @115825, if all the on-screen text will always be in German don't pretend a movie is available in ""German and English"". Jarring af",digital_content,75.0,9
30,@149601 when trying to download battlefront2 beta it says 'not available for purchase'. I've redeemed the code from @115830 but no joy 😣,digital_content,75.0,9
31,"@115828 I pre-ordered Battlefront 2 through you, will I be getting a beta code ? @116090 @AmazonHelp",digital_content,75.0,9
32,@115850 The whole birthday surprise was ruined This is how u guys look after ur prime customer The whole gift thing was ruined #feltbroken https://t.co/Qyz3aPazDL,delivery_problem,90.0,2
33,"@115850 is making fool , Look at the price :) there is not a single penny's discount #LetsCheckOut #Ittefaq #WorldAnimalDay https://t.co/wQ6Cyz1Zen",billing_or_payment,70.0,
34,"@AmazonHelp Yo, Amazon. Do you know when Battlefront 2 Beta Codes are being sent out? (Should be today, but still nothing)",digital_content,70.0,
35,"Mind-blowing deal!
@115850: Sorry guys. Never wanted to troll you. But this doesn't look good. Why don't you check this out? https://t.co/YHAW5X16Zc",general_feedback_or_praise,60.0,
36,Disappointed by inferior quality item supplied by @115850... Losing trust for online purchases... @126033 request assistance please...,product_defect,85.0,6
37,"@AmazonHelp Thanks for ur response. My problem is not solvable but I'm happy by your approach.
And pls don't use shit 3rd party courier.",general_feedback_or_praise,70.0,
38,This is very pathetic &amp; painful to knw that @115850 forgt to refnd 45k. It means if customer wouldn't call then they won't refund ur money,refund_or_return,85.0,3
39,@115850 the site is down for iOS users?,app_or_site_technical,65.0,
40,"@AmazonHelp Lovefilm website  states that no payments will be taken after 30th September, my account had £6.99 deducted by you yesterday ???",billing_or_payment,85.0,5
41,"@115850 ibwz tryng 2 pik dis deal,bt m getting extra 1k exchange nly in spite of 2k.
So wts actually offer.
Plz explain
@82310 https://t.co/CHCWVLHnaG",app_or_site_technical,65.0,
42,@115830 who do I send the bill for a new microchip cat flap to ? Didn't stop your driver ramming my parcel through it !!!,delivery_problem,90.0,2
43,@1315 Lovefilm states that no payments will be taken after 30th September ... so how come my account had £6.99 taken from it yesterday ?,billing_or_payment,85.0,5
44,#SWBFII The Amazon Codes are Not Working,other,50.0,
45,@115850 No UPI payment mode? It's not that bad actually.,app_or_site_technical,60.0,
46,@12393 Possible software upgrade to set varying defaults for the page the book opens at and the time elapsing before the screensaver?,app_or_site_technical,65.0,
47,"@AmazonHelp guys i cant log into kindle cloud reader online, it keeps coming up with ""an error occured when trying to load the library""",account_access,80.0,7
