conv_id,text,predicted_intent,confidence,intent_id,n_grounding_examples,top_similarity,escalate,escalate_reason,draft_reply,gold_intent,gold_escalate
3021,I think the @115821 algorithm is acting up tonight... I just want a keyboard. https://t.co/jvvppzSEys,app_or_site_technical,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,app_or_site_technical,False
1117,"@115850 any problem at Hyderabad, Telangana courier facility??",other,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,False
4540,@AmazonHelp @115850 @115821 I HV never seen such morons work at ur customer service. U guys r so pathetic dat u can't even pick 1 product,general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
4953,"@AmazonHelp @115850 
Talked to a customer service rep
Nvr facd such bad quality voice call&amp;poor tht person is helpless bz technical prob",app_or_site_technical,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
3300,@115850 pathetic service! Placing an order since 15days and it gets returned for no reason. Refund gets delayed. AMAZON SALE IS A FRAUD,refund_or_return,90.0,3.0,3,0.6838842711740545,False,"confident intent, not high-stakes, strong historical match found",I'm really sorry you're feeling this way. Please reach out to our support team here: https://t.co/vlvfJr4nN9 so we can assist you with your issues. ^SG,refund_or_return,False
3120,"@115850  ORDER # 408-0387500-3836361 never delivered and showen as delievered directly in the hands of the customer, whats happening?",delivery_problem,90.0,2.0,3,0.7573246863596839,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear your order status is incorrect. Please report this issue to our support team here: https://t.co/TdDksLo6Mf for assistance. ^HD,delivery_problem,False
1969,somehow been conned into signing up for amazon prime AGAIN wtf how did this happen :(,subscription_membership,80.0,10.0,3,0.741434332898209,False,"confident intent, not high-stakes, strong historical match found",Sorry for the confusion! Please reach out to us with your account details here: https://t.co/EKXRLsnxJu so we can clarify this for you. ^GG,subscription_membership,False
2596,@AmazonHelp If I was to cancel my order am I correct in thinking it will eventually arrive and I’d have to send it back via post?,cancellation_or_change,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,cancellation_or_change,False
3625,"Amazon charged me $107 LMFAOOOOO so now i had to cancel my card, dispute it, and gotta wait for a new card and the money",billing_or_payment,90.0,5.0,3,0.6120304981117738,True,high-stakes intent ('billing_or_payment') always routed to a human,I'm really sorry for the unexpected charge! Let's get this sorted out. Please reach out to us via DM. ^AC,billing_or_payment,True
1586,@115850 i have not received my past 3 orders on time even though you guaranteed next day delivery...pls refund my prime membership,refund_or_return,80.0,3.0,3,0.6949071269275915,False,"confident intent, not high-stakes, strong historical match found","Sorry to hear about your Prime issues. Please reach out to us with your details here: https://t.co/GIJyeY99fq, and we’ll be glad to assist you. ^NR",refund_or_return,False
4302,all offense......where are my her albums already @115821,order_status,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
4136,@AmazonHelp I think someone changed my login email - found email notifying change but didn't authorize - can't log in to change it back.,account_access,85.0,7.0,3,0.805026457999268,True,high-stakes intent ('account_access') always routed to a human,I’m sorry to hear about the unauthorized email change. Please reach out to us here: https://t.co/M5mCF7G1vT so we can assist you.,account_access,True
1402,@115821 I was on hold for approx. 30 mins had to hang up. Is there a way you guys can call me back? Don't want to be on hold for another 30.,other,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,False
4442,"@115850 @AmazonHelp is thr ay1 to help me out I have nt recd my pckt. Its a prepaid &amp; showing delivd.  Its urgent. 
__email__ https://t.co/My9X5pTMK6",delivery_problem,85.0,2.0,3,0.7046540180024645,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your package! Please DM us with your order details so we can assist you further. ^CB,delivery_problem,False
4871,@AmazonHelp your words speak your actions,general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
815,@AmazonHelp @115850 WTF placed an order on sale now seller says I need to cancel the order #unprofessional #saynotoamazon #frustated,cancellation_or_change,80.0,4.0,3,0.7136137352311184,False,"confident intent, not high-stakes, strong historical match found",I understand your frustration. Please contact us here: https://t.co/rS49hgaADF so we can assist you with your order. ^VR,cancellation_or_change,False
2451,Expecting my order today but there has been no updation of tracking detail neither have I received any msg from @115850 regarding this https://t.co/ET6TO7sEOn,order_status,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,order_status,False
1421,WHY IS MY @116439 NOT WORKING?!,digital_content,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,digital_content,True
1793,"@AmazonHelp I've had 10.99 taken from my bank on 5th October, when I haven't placed an order since 22nd Jan, nor do I have a prime account?",billing_or_payment,80.0,5.0,3,0.6908625033521052,True,high-stakes intent ('billing_or_payment') always routed to a human,"I'm sorry for the unexpected charge! Please reach out to us via DM, and we can help clarify your account details. ^ZW",billing_or_payment,True
4007,@115821  recharge not happened using komparify and select amazon pay amazon pay id is #P04-0388478-5287317,billing_or_payment,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,billing_or_payment,True
4120,"@AmazonHelp if something is ""free two day shipping"" with prime, why is it taking four days?",order_status,80.0,1.0,3,0.7241718498178888,False,"confident intent, not high-stakes, strong historical match found","I understand your concerns regarding shipping times. If the delivery is delayed, please let us know, and we’ll look into it. ^AD",order_status,False
2994,@AmazonHelp my package was supposed to be here tonight at 8. Just got notified it could be out until Wednesday. Why do I even have prime,order_status,85.0,1.0,3,0.7312812615152983,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delay! Please check your tracking for the latest updates or send us a DM for further assistance. ^MJ,order_status,False
1676,"@115830 hey guys, will you be getting the SNES classic console in stock soon? I need to relive my childhood!",general_feedback_or_praise,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
165,"@115850 placed an order for AC, cancelled same day, amount pending from last 12 days #AmazonGreatIndianFestival not managed properly",cancellation_or_change,80.0,4.0,3,0.7709441378915337,False,"confident intent, not high-stakes, strong historical match found","I'm sorry to hear about the cancellation delay. Please check your email for updates regarding this. If needed, reach out for further assistance! ^NR",cancellation_or_change,False
4939,Accidentally ordered a $40 box of dog treats off @115821 thinking it was bulk bc it was the same price I usually pay &amp; now no returns🙃🙃🙃,refund_or_return,80.0,3.0,3,0.4943766192145399,False,"confident intent, not high-stakes, strong historical match found","I understand this can be frustrating. Currently, we don’t have a return option for that item. You can check our returns info here: https://t.co/pxWGjp0Dec for future orders. ^CL",refund_or_return,False
1974,"@115850 
#PehleKaroPuriTayyari
#FakeListings
available at 699 without any deal, Lightning deal at 799.
Same product with different MRP. https://t.co/hMInxxZEKx",other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
4651,Why u take more money in term of taxes they are so many know kinds of charges delivering charges packaging taxes what is this @115850,billing_or_payment,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,billing_or_payment,True
